epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.42679,0.63683,0.6,1,0.72034,0.00015003,0.00015003,0.00015003
2,5.50179,0.45159,0.85,1,0.29056,0.000301052,0.000301052,0.000301052
3,7.70445,0.34066,0.95,1,0.22473,0.00043557,0.00043557,0.00043557
4,9.96762,0.25174,0.95,1,0.13249,0.000553586,0.000553586,0.000553586
5,12.1436,0.24519,0.95,1,0.07202,0.000655098,0.000655098,0.000655098
6,14.2912,0.19639,0.95,1,0.06584,0.000740106,0.000740106,0.000740106
7,16.4258,0.15909,0.95,1,0.06229,0.000808612,0.000808612,0.000808612
8,18.5739,0.13983,1,1,0.0203,0.000860614,0.000860614,0.000860614
9,20.7351,0.18749,1,1,0.01934,0.000896113,0.000896113,0.000896113
10,22.91,0.07539,1,1,0.00732,0.000915108,0.000915108,0.000915108
11,25.1038,0.05753,1,1,0.01091,0.000841835,0.000841835,0.000841835
12,27.2741,0.07079,1,1,0.00763,0.000759318,0.000759318,0.000759318
13,29.4675,0.07063,1,1,0.00635,0.000676802,0.000676802,0.000676802
14,31.6814,0.07395,1,1,0.00505,0.000594286,0.000594286,0.000594286
15,33.8674,0.25485,1,1,0.00525,0.000511769,0.000511769,0.000511769
16,36.0895,0.0557,1,1,0.00343,0.000429253,0.000429253,0.000429253
17,38.3046,0.07136,1,1,0.00805,0.000346736,0.000346736,0.000346736
18,40.5024,0.0507,1,1,0.00483,0.00026422,0.00026422,0.00026422
19,42.6599,0.11769,1,1,0.00561,0.000181703,0.000181703,0.000181703
20,44.8887,0.10399,1,1,0.00271,9.91865e-05,9.91865e-05,9.91865e-05
